Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Id,Customer Segment,Customer State,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Description,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
PAYMENT,3,2,38.24000168,224.9600067,Late delivery,1,17,Cleats,Salem,EE. UU.,11488,Corporate,OR,4,Apparel,44.98003769,-123.0266647,Pacific Asia,Lahore,Pakistán,11488,11/10/2015 22:30,21507,365,74.98999786,0.25,53762,59.99000168,0.170000002,5,299.9500122,224.9600067,38.24000168,South Asia,Punyab,PENDING_PAYMENT,,365,17,,Perfect Fitness Perfect Rip Deck,59.99000168,0,11/13/2015 22:30,Second Class
PAYMENT,2,4,36.0699997,81.97000122,Advance shipping,0,46,Indoor/Outdoor Games,Compton,EE. UU.,10782,Corporate,CA,7,Fan Shop,33.89582443,-118.2444229,Europe,Getafe,España,10782,8/9/2017 20:12,65206,1014,17.98999977,0.180000007,162968,49.97999954,0.439999998,2,99.95999908,81.97000122,36.0699997,Southern Europe,Madrid,PENDING_PAYMENT,,1014,46,,O'Brien Men's Neoprene Life Vest,49.97999954,0,8/11/2017 20:12,Standard Class
TRANSFER,5,4,-20.40999985,129.9900055,Shipping canceled,0,18,Men's Footwear,Algonquin,EE. UU.,3934,Consumer,IL,4,Apparel,42.17568588,-88.37289429,Europe,Tilburg,Países Bajos,3934,7/9/2015 23:02,13014,403,0.0,0.0,32555,129.9900055,-0.159999996,1,129.9900055,129.9900055,-20.40999985,Western Europe,Brabante Septentrional,CANCELED,,403,18,,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,7/14/2015 23:02,Standard Class
PAYMENT,6,2,174.7100067,363.980011,Late delivery,1,45,Fishing,Caguas,Puerto Rico,5998,Corporate,PR,7,Fan Shop,18.23813629,-66.37055969,Pacific Asia,Riyadh,Arabia Saudí,5998,10/19/2016 0:39,45010,1004,36.0,0.090000004,112394,399.980011,0.479999989,1,399.980011,363.980011,174.7100067,West Asia,Riad,PENDING_PAYMENT,,1004,45,,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,10/25/2016 0:39,Second Class
DEBIT,4,4,67.45999908,283.4500122,Shipping on time,0,17,Cleats,Jamaica,EE. UU.,1727,Corporate,NY,4,Apparel,40.70177841,-73.80841827,LATAM,Consolación del Sur,Cuba,1727,1/20/2015 17:39,1353,365,16.5,0.059999999,3350,59.99000168,0.239999995,5,299.9500122,283.4500122,67.45999908,Caribbean,Pinar del Río,COMPLETE,,365,17,,Perfect Fitness Perfect Rip Deck,59.99000168,0,1/24/2015 17:39,Standard Class
DEBIT,2,4,43.68000031,167.9900055,Advance shipping,0,48,Water Sports,Caguas,Puerto Rico,2793,Consumer,PR,7,Fan Shop,18.20897102,-66.37054443,Europe,Leipzig,Alemania,2793,9/21/2017 14:43,68136,1073,32.0,0.159999996,170356,199.9900055,0.25999999,1,199.9900055,167.9900055,43.68000031,Western Europe,Sajonia,COMPLETE,,1073,48,,Pelican Sunstream 100 Kayak,199.9900055,0,9/23/2017 14:43,Standard Class
DEBIT,4,4,36.79999924,160.0,Shipping on time,0,24,Women's Apparel,Staten Island,EE. UU.,10008,Corporate,NY,5,Golf,40.54027557,-74.16858673,Africa,Algiers,Argelia,10008,1/1/2017 14:13,50118,502,40.0,0.200000003,125281,50.0,0.230000004,4,200.0,160.0,36.79999924,North Africa,Alger,COMPLETE,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,1/5/2017 14:13,Standard Class
DEBIT,6,4,77.98999786,299.980011,Late delivery,1,43,Camping & Hiking,Tulare,EE. UU.,364,Home Office,CA,7,Fan Shop,36.21067047,-119.4041061,LATAM,Guadalajara,México,364,2/14/2017 6:26,53110,957,0.0,0.0,132734,299.980011,0.25999999,1,299.980011,299.980011,77.98999786,Central America,Jalisco,COMPLETE,,957,43,,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,2/20/2017 6:26,Standard Class
TRANSFER,3,2,-54.33000183,191.9700012,Late delivery,1,17,Cleats,Caguas,Puerto Rico,2804,Consumer,PR,4,Apparel,18.27165794,-66.37052155,Europe,London,Reino Unido,2804,9/24/2017 18:23,68352,365,47.99000168,0.200000003,170882,59.99000168,-0.280000001,4,239.9600067,191.9700012,-54.33000183,Northern Europe,Inglaterra,PENDING,,365,17,,Perfect Fitness Perfect Rip Deck,59.99000168,0,9/27/2017 18:23,Second Class
DEBIT,6,4,51.65999985,126.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,9604,Consumer,PR,5,Golf,18.20489121,-66.37063599,Africa,Lagos,Nigeria,9604,10/24/2016 12:02,45385,502,24.0,0.159999996,113406,50.0,0.409999996,3,150.0,126.0,51.65999985,West Africa,Lagos,COMPLETE,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,10/30/2016 12:02,Standard Class
TRANSFER,2,1,6.820000172,45.47999954,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,9632,Corporate,PR,7,Fan Shop,18.22980309,-66.37057495,Europe,Metz,Francia,9632,8/14/2017 0:03,65491,1014,4.5,0.090000004,163686,49.97999954,0.150000006,1,49.97999954,45.47999954,6.820000172,Western Europe,Alsacia-Champaña-Ardenas-Lorena,PROCESSING,,1014,46,,O'Brien Men's Neoprene Life Vest,49.97999954,0,8/16/2017 0:03,First Class
TRANSFER,5,2,38.04999924,108.7099991,Late delivery,1,5,Lacrosse,Caguas,Puerto Rico,3040,Corporate,PR,2,Fitness,18.24617577,-66.37051392,LATAM,Piedras Negras,México,3040,3/7/2015 1:50,4459,93,16.23999977,0.129999995,11160,24.98999977,0.349999994,5,124.9499969,108.7099991,38.04999924,Central America,Coahuila,PENDING,,93,5,,Under Armour Men's Tech II T-Shirt,24.98999977,0,3/12/2015 1:50,Second Class
PAYMENT,5,4,15.0,75.0,Late delivery,1,24,Women's Apparel,Brooklyn,EE. UU.,2585,Consumer,NY,5,Golf,40.63330841,-73.94656372,LATAM,San Salvador,El Salvador,2585,5/14/2017 5:26,59204,502,25.0,0.25,148186,50.0,0.200000003,2,100.0,75.0,15.0,Central America,San Salvador,PENDING_PAYMENT,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,5/19/2017 5:26,Standard Class
TRANSFER,4,2,19.20999908,169.9799957,Late delivery,1,9,Cardio Equipment,Milwaukee,EE. UU.,2257,Home Office,WI,3,Footwear,44.88425827,-88.24053192,Pacific Asia,Brisbane,Australia,2257,2/29/2016 12:43,29083,191,30.0,0.150000006,72763,99.98999786,0.109999999,2,199.9799957,169.9799957,19.20999908,Oceania,Queensland,PENDING,,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,3/4/2016 12:43,Second Class
DEBIT,3,4,-3.799999952,99.98999786,Advance shipping,0,9,Cardio Equipment,Caguas,Puerto Rico,8689,Corporate,PR,3,Footwear,18.25509834,-66.37051392,Europe,Lohne,Alemania,8689,7/12/2017 19:54,63287,191,0.0,0.0,158229,99.98999786,-0.039999999,1,99.98999786,99.98999786,-3.799999952,Western Europe,Baja Sajonia,COMPLETE,,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,7/15/2017 19:54,Standard Class
DEBIT,4,4,115.5999985,245.9600067,Shipping on time,0,17,Cleats,Round Rock,EE. UU.,6948,Consumer,TX,4,Apparel,30.47071457,-97.64977264,Pacific Asia,Matsudo,Japón,6948,3/2/2016 5:00,29198,365,53.99000168,0.180000007,73050,59.99000168,0.469999999,5,299.9500122,245.9600067,115.5999985,Eastern Asia,Chiba,ON_HOLD,,365,17,,Perfect Fitness Perfect Rip Deck,59.99000168,0,3/6/2016 5:00,Standard Class
DEBIT,4,2,72.22000122,167.9600067,Late delivery,1,29,Shop By Sport,West Chester,EE. UU.,1311,Corporate,PA,5,Golf,39.96621323,-75.53662109,Europe,Chisináu,Moldavia,1311,9/9/2016 5:16,42283,627,31.98999977,0.159999996,105569,39.99000168,0.430000007,5,199.9499969,167.9600067,72.22000122,Eastern Europe,Chisináu,COMPLETE,,627,29,,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,9/13/2016 5:16,Second Class
TRANSFER,4,4,-109.1299973,242.5,Shipping canceled,0,24,Women's Apparel,Loveland,EE. UU.,10784,Corporate,OH,5,Golf,39.29779434,-84.28598023,LATAM,San Pedro Sula,Honduras,10784,1/24/2015 7:30,1598,502,7.5,0.029999999,3987,50.0,-0.449999988,5,250.0,242.5,-109.1299973,Central America,Cortés,CANCELED,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,1/28/2015 7:30,Standard Class
DEBIT,5,4,69.69000244,191.9799957,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,5042,Corporate,PR,3,Footwear,18.21641159,-66.3705368,Europe,Chester,Reino Unido,5042,6/27/2015 2:43,12134,191,8.0,0.039999999,30337,99.98999786,0.360000014,2,199.9799957,191.9799957,69.69000244,Northern Europe,Inglaterra,COMPLETE,,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,7/2/2015 2:43,Standard Class
CASH,5,2,-291.1700134,363.9599915,Late delivery,1,9,Cardio Equipment,Caguas,Puerto Rico,4279,Consumer,PR,3,Footwear,18.29564285,-66.37054443,LATAM,Tampico,México,4279,5/19/2015 13:49,9494,191,36.0,0.090000004,23724,99.98999786,-0.800000012,4,399.9599915,363.9599915,-291.1700134,Central America,Tamaulipas,CLOSED,,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,5/24/2015 13:49,Second Class
DEBIT,4,4,14.85000038,99.0,Shipping on time,0,24,Women's Apparel,Lansdale,EE. UU.,2075,Corporate,PA,5,Golf,40.24383545,-75.28388214,Europe,Klagenfurt,Austria,2075,11/25/2016 15:50,47588,502,1.0,0.01,118974,50.0,0.150000006,2,100.0,99.0,14.85000038,Western Europe,Carintia,COMPLETE,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,11/29/2016 15:50,Standard Class
DEBIT,5,2,31.5,499.9500122,Late delivery,1,9,Cardio Equipment,Greenville,EE. UU.,6451,Consumer,NC,3,Footwear,35.58187485,-77.37554932,Europe,Toulouse,Francia,6451,8/25/2015 17:53,16219,191,0.0,0.0,40489,99.98999786,0.059999999,5,499.9500122,499.9500122,31.5,Western Europe,Languedoc-Rosellón-Mediodía-Pirineos,ON_HOLD,,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,8/30/2015 17:53,Second Class
TRANSFER,6,4,24.35000038,59.38999939,Late delivery,1,17,Cleats,Caguas,Puerto Rico,7241,Corporate,PR,4,Apparel,18.28585625,-66.37054443,LATAM,Gonaïves,Haití,7241,5/24/2017 5:47,59890,365,0.600000024,0.01,149892,59.99000168,0.409999996,1,59.99000168,59.38999939,24.35000038,Caribbean,Artibonito,PROCESSING,,365,17,,Perfect Fitness Perfect Rip Deck,59.99000168,0,5/30/2017 5:47,Standard Class
PAYMENT,5,4,0.219999999,21.98999977,Late delivery,1,40,Accessories,Caguas,Puerto Rico,1218,Corporate,PR,6,Outdoors,18.28869438,-66.37052155,LATAM,Apodaca,México,1218,5/25/2015 16:57,9914,905,3.0,0.119999997,24758,24.98999977,0.01,1,24.98999977,21.98999977,0.219999999,Central America,Nuevo León,PENDING_PAYMENT,,905,40,,Team Golf Texas Longhorns Putter Grip,24.98999977,0,5/30/2015 16:57,Standard Class
DEBIT,6,2,-201.4799957,129.9900055,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,1464,Consumer,PR,4,Apparel,18.25997925,-66.37049866,Europe,Herford,Alemania,1464,10/17/2015 14:29,19840,403,0.0,0.0,49586,129.9900055,-1.549999952,1,129.9900055,129.9900055,-201.4799957,Western Europe,Renania del Norte-Westfalia,ON_HOLD,,403,18,,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,10/23/2015 14:29,Second Class
PAYMENT,3,4,134.9900055,359.9599915,Advance shipping,0,9,Cardio Equipment,Caguas,Puerto Rico,4687,Corporate,PR,3,Footwear,18.28091049,-66.37059021,USCA,New York City,Estados Unidos,4687,6/22/2016 9:03,36882,191,40.0,0.100000001,92043,99.98999786,0.379999995,4,399.9599915,359.9599915,134.9900055,East of USA,Nueva York,PENDING_PAYMENT,10011.0,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,6/25/2016 9:03,Standard Class
CASH,4,4,32.02999878,363.980011,Shipping on time,0,45,Fishing,Caguas,Puerto Rico,9226,Corporate,PR,7,Fan Shop,18.23684692,-66.37052918,LATAM,Atlixco,México,9226,3/7/2017 22:00,54593,1004,36.0,0.090000004,136549,399.980011,0.090000004,1,399.980011,363.980011,32.02999878,Central America,Puebla,CLOSED,,1004,45,,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,3/11/2017 22:00,Standard Class
DEBIT,4,2,47.33000183,387.980011,Late delivery,1,45,Fishing,Costa Mesa,EE. UU.,1366,Consumer,CA,7,Fan Shop,33.67670822,-117.9219055,Pacific Asia,Napier,Nueva Zelanda,1366,3/25/2016 4:48,30773,1004,12.0,0.029999999,76873,399.980011,0.119999997,1,399.980011,387.980011,47.33000183,Oceania,Hawke's Bay,COMPLETE,,1004,45,,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,3/29/2016 4:48,Second Class
PAYMENT,2,4,14.85000038,148.5,Advance shipping,0,24,Women's Apparel,Los Angeles,EE. UU.,9536,Consumer,CA,5,Golf,34.07558823,-118.2997131,USCA,New York City,Estados Unidos,9536,4/14/2016 2:19,32136,502,1.5,0.01,80369,50.0,0.100000001,3,150.0,148.5,14.85000038,East of USA,Nueva York,PENDING_PAYMENT,10035.0,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,4/16/2016 2:19,Standard Class
PAYMENT,6,4,6.800000191,169.9299927,Late delivery,1,46,Indoor/Outdoor Games,Phoenix,EE. UU.,9169,Consumer,AZ,7,Fan Shop,33.4926796,-112.2088623,Europe,Velbert,Alemania,9169,9/12/2015 18:54,17455,1014,29.98999977,0.150000006,43630,49.97999954,0.039999999,4,199.9199982,169.9299927,6.800000191,Western Europe,Renania del Norte-Westfalia,PENDING_PAYMENT,,1014,46,,O'Brien Men's Neoprene Life Vest,49.97999954,0,9/18/2015 18:54,Standard Class
DEBIT,0,0,124.7900009,319.980011,Shipping on time,0,45,Fishing,Louisville,EE. UU.,2165,Consumer,KY,7,Fan Shop,38.17819977,-85.76452637,Europe,Lausanne,Suiza,2165,9/2/2017 1:57,66798,1004,80.0,0.200000003,166972,399.980011,0.389999986,1,399.980011,319.980011,124.7900009,Western Europe,Vaud,COMPLETE,,1004,45,,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,9/2/2017 13:57,Same Day
DEBIT,6,4,3.299999952,37.5,Late delivery,1,24,Women's Apparel,North Tonawanda,EE. UU.,5505,Consumer,NY,5,Golf,43.02910233,-78.87342072,Pacific Asia,Qitaihe,China,5505,12/21/2015 13:31,24290,502,12.5,0.25,60755,50.0,0.090000004,1,50.0,37.5,3.299999952,Eastern Asia,Heilongjiang,ON_HOLD,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,12/27/2015 13:31,Standard Class
TRANSFER,6,4,87.11000061,239.9799957,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,834,Corporate,PR,7,Fan Shop,18.02538109,-66.61508179,Europe,Aix-en-Provence,Francia,834,8/20/2017 4:36,65915,957,60.0,0.200000003,164719,299.980011,0.360000014,1,299.980011,239.9799957,87.11000061,Western Europe,Provenza-Alpes-Costa Azul,PROCESSING,,957,43,,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,8/26/2017 4:36,Standard Class
DEBIT,2,2,-13.88000011,122.8399963,Shipping on time,0,18,Men's Footwear,Chicago,EE. UU.,11711,Home Office,IL,4,Apparel,41.89569092,-87.67263794,Pacific Asia,Karaman,Turquía,11711,1/11/2017 15:15,50806,403,7.150000095,0.059999999,126964,129.9900055,-0.109999999,1,129.9900055,122.8399963,-13.88000011,West Asia,Karaman,COMPLETE,,403,18,,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,1/13/2017 15:15,Second Class
TRANSFER,2,1,18.26000023,43.47999954,Late delivery,1,40,Accessories,Saint Charles,EE. UU.,10851,Home Office,MO,6,Outdoors,38.78551102,-90.48577881,LATAM,Chimaltenango,Guatemala,10851,2/5/2015 13:05,2436,893,6.5,0.129999995,6086,24.98999977,0.419999987,2,49.97999954,43.47999954,18.26000023,Central America,Chimaltenango,PROCESSING,,893,40,,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,0,2/7/2015 13:05,First Class
TRANSFER,2,1,-27.90999985,443.0,Late delivery,1,62,Cameras ,Caguas,Puerto Rico,13147,Consumer,PR,10,Technology,18.27988625,-66.03704834,Europe,Harrow,Reino Unido,13147,10/12/2017 21:31,69594,1349,9.039999962,0.02,172909,452.0400085,-0.059999999,1,452.0400085,443.0,-27.90999985,Northern Europe,Inglaterra,PENDING,,1349,62,,Web Camera,452.0400085,0,10/14/2017 21:31,First Class
TRANSFER,2,1,33.11999893,127.3899994,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,94,Corporate,PR,4,Apparel,18.22758865,-66.04360199,USCA,Fremont,Estados Unidos,94,4/2/2016 3:44,31318,403,2.599999905,0.02,78285,129.9900055,0.25999999,1,129.9900055,127.3899994,33.11999893,US Center ,Nebraska,PROCESSING,68025.0,403,18,,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,4/4/2016 3:44,First Class
DEBIT,3,4,7.199999809,359.980011,Advance shipping,0,45,Fishing,Fremont,EE. UU.,271,Corporate,CA,7,Fan Shop,37.64143753,-121.8764877,USCA,New York City,Estados Unidos,271,7/6/2016 11:08,37847,1004,40.0,0.100000001,94455,399.980011,0.02,1,399.980011,359.980011,7.199999809,East of USA,Nueva York,COMPLETE,10035.0,1004,45,,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,7/9/2016 11:08,Standard Class
DEBIT,4,4,49.5,395.9599915,Shipping on time,0,9,Cardio Equipment,Houston,EE. UU.,9609,Consumer,TX,3,Footwear,29.55062294,-95.80967712,LATAM,Buenos Aires,Argentina,9609,1/21/2017 17:41,51498,191,4.0,0.01,128702,99.98999786,0.129999995,4,399.9599915,395.9599915,49.5,South America,Buenos Aires,COMPLETE,,191,9,,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,1/25/2017 17:41,Standard Class
PAYMENT,6,2,-3.150000095,242.3999939,Late delivery,1,71,Music,Caguas,Puerto Rico,16343,Consumer,PR,9,Discs Shop,18.21587563,-66.0370636,Pacific Asia,Dehra Dun,India,16343,11/28/2017 13:13,72790,1358,18.25,0.07,176105,260.6499939,-0.01,1,260.6499939,242.3999939,-3.150000095,South Asia,Uttarakhand,PENDING_PAYMENT,,1358,71,,Rock music,260.6499939,0,12/4/2017 13:13,Second Class
PAYMENT,6,2,79.58999634,227.4100037,Late delivery,1,46,Indoor/Outdoor Games,Caguas,Puerto Rico,5374,Corporate,PR,7,Fan Shop,18.22752762,-66.3706131,LATAM,Sonsonate,El Salvador,5374,3/10/2017 1:30,54740,1014,22.48999977,0.090000004,136898,49.97999954,0.349999994,5,249.8999939,227.4100037,79.58999634,Central America,Sonsonate,PENDING_PAYMENT,,1014,46,,O'Brien Men's Neoprene Life Vest,49.97999954,0,3/16/2017 1:30,Second Class
TRANSFER,1,0,113.8499985,247.5,Late delivery,1,24,Women's Apparel,Brockton,EE. UU.,6573,Home Office,MA,5,Golf,42.06258011,-71.01766205,Europe,Nijmegen,Países Bajos,6573,6/14/2015 16:56,11284,502,2.5,0.01,28215,50.0,0.460000008,5,250.0,247.5,113.8499985,Western Europe,Güeldres,PROCESSING,,502,24,,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,6/15/2015 4:56,Same Day
PAYMENT,3,2,20.0,199.9900055,Late delivery,1,48,Water Sports,Hyattsville,EE. UU.,95,Corporate,MD,7,Fan Shop,33.35597992,-111.9122238,Africa,Cairo,Egipto,95,11/10/2016 7:38,46537,1073,0.0,0.0,116344,199.9900055,0.100000001,1,199.9900055,199.9900055,20.0,North Africa,El Cairo,PENDING_PAYMENT,,1073,48,,Pelican Sunstream 100 Kayak,199.9900055,0,11/13/2016 7:38,Second Class
CASH,4,2,46.0699997,230.3600006,Late delivery,1,17,Cleats,Caguas,Puerto Rico,5654,Home Office,PR,4,Apparel,18.21306038,-66.37062073,Africa,Matola,Mozambique,5654,12/17/2016 8:06,49073,365,9.600000381,0.039999999,122697,59.99000168,0.200000003,4,239.9600067,230.3600006,46.0699997,East Africa,Maputo,CLOSED,,365,17,,Perfect Fitness Perfect Rip Deck,59.99000168,0,12/21/2016 8:06,Second Class
DEBIT,5,4,2.640000105,263.980011,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,12042,Consumer,PR,7,Fan Shop,18.22452164,-66.37054443,LATAM,San Pedro Sula,Honduras,12042,5/7/2015 19:47,8689,957,36.0,0.119999997,21704,299.980011,0.01,1,299.980011,263.980011,2.640000105,Central America,Cortés,COMPLETE,,957,43,,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,5/12/2015 19:47,Standard Class
DEBIT,2,1,38.00999832,79.18000031,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,3160,Corporate,PR,5,Golf,18.2130928,-66.37051392,Europe,Bagnolet,Francia,3160,7/1/2015 22:20,12464,627,0.800000012,0.01,31190,39.99000168,0.479999989,2,79.98000336,79.18000031,38.00999832,Western Europe,Isla de Francia,COMPLETE,,627,29,,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,7/3/2015 22:20,First Class
